Question,Answer A,Answer B,Answer C,Answer D,Answer E
Quale strategia riproduttiva prevede la schiusa delle uova all'esterno del corpo della femmina?,Oviparità,Ermafroditismo,Partenogenesi,Ovoviviparità,Viviparità
Quale strategia riproduttiva prevede lo sviluppo di embrioni all'interno del corpo della madre che nascono già completamente formati?,Viviparità,Ovoviviparità,Oviparità,Partenogenesi,Ermafroditismo
"Quale strategia riproduttiva prevede lo sviluppo di embrioni all'interno di uova nel corpo della madre, dove poi si schiudono?",Ovoviviparità,Ermafroditismo,Partenogenesi,Viviparità,Oviparità
Quale strategia riproduttiva prevede lo sviluppo della prole da uova non fecondate?,Partenogenesi,Ovoviviparità,Viviparità,Oviparità,Ermafroditismo
Quale strategia riproduttiva prevede degli organismi in grado di produrre sia gameti maschili che femminili?,Ermafroditismo,Partenogenesi,Oviparità,Viviparità,Ovoviviparità
"Quale animale, tra quelli proposti, possiede un sistema urinario composto da nefroni e reni?",Uccello,Spugna,Crostaceo,Insetto,Farfalla
"Quale animale, tra quelli elencati, espelle rifiuti azotati principalmente sotto forma di acido urico?",Uccello,Batterio,Anfibio,Mammifero,Pesce
Quale gruppo animale espelle rifiuti azotati principalmente sotto forma di ammoniaca?,Pesce,Mammifero,Uccello,Anfibio,Rettile
"Quale animale, tra i seguenti, possiede un sistema urinario costituito da metanefridi?",Anellide,Insetto,Pesce,Uccello,Anfibi
"Quale animale, tra quelli proposti, possiede un sistema urinario costituito da tubuli malpighiani?",Insetto,Pesce,Uccello,Rettile,Mammifero
Quale animale possiede un sistema urinario che comprende una vescica per il deposito temporaneo dell'urina?,Mammifero,Pesce,Uccello,Rettile,Insetto
Quale animale elimina i prodotti di scarto attraverso cellule specializzate chiamate cellule a fiamma?,Platelminti,Mollusco,Uccello,Rettile,Insetto
"Quale animale, tra quelli elencati, presenta un sistema urinario che comprende i nefridi?",Mollusco,Mammifero,Uccello,Pesce,Rettile
Quale animale elimina i prodotti di scarto attraverso cellule specializzate chiamate protonefridi?,Platelminti,Pesce,Uccello,Rettile,Mammifero
Quale gruppo animale possiede un sistema urinario costituito da tubuli renali?,Mammiferi,Molluschi,Crostacei,Anellidi,Planarie
"Nell'incrocio tra primo genitore AABbCcDd e secondo genitore aaBbccDd, qual è la percentuale della progenie fenotipicamente uguale al primo genitore AABbCcDd?",0.28,0.58,0.18,0.75,0.85
Quale gruppo animale converte i rifiuti azotati in acido urico per ridurre al minimo la perdita di acqua?,Rettili,Mammiferi,Pesci,Anellidi,Anfibi
"La sensibilità alla PTC (feniltiocarbamide) nell'uomo è controllata da un locus con due alleli: alcune persone trovano questo composto molto amaro e sono chiamati ""tasters"", altri chiamati ""non tasters"" lo trovano invece privo di sapore. La differenza dipende dal fatto che l'allele taster (T) è dominante su quello non taster (t). Dunque da un incrocio tra due genitori eterozigoti che probabilità si ha di avere un individuo ""taster""?",0.75,0,0.5,0.85,0.65
Quale delle seguenti affermazioni definisce meglio la deriva genetica?,La variazione delle frequenze alleliche determinata da venti casuali,Il movimento di individui da una popolazione a un'altra,Il trasferimento di informazioni genetiche dai genitori alla progenie,L'adattamento di una specie al suo ambiente,Il processo attraverso il quale nascono nuovi alleli in una popolazione
In quale tipo di popolazione è più probabile che si verifichi il fenomeno della deriva genetica?,Popolazione di dimensioni ridotte,Una popolazione con un alto tasso di mutazione,Una popolazione con basso tasso di mutazione,Una popolazione con un elevato flusso genico,Una popolazione numerosa
Quale delle seguenti affermazioni NON è una conseguenza della deriva genetica nelle popolazioni di piccole dimensioni?,Aumento della variazione genetica,Diminuzione della variazione genetica,Perdita di alleli rari,Fissazione degli alleli,Variazioni casuali delle frequenze alleliche
In quale dei seguenti scenari è più probabile che NON si verifichi una deriva genetica?,Popolazione di grandi dimensioni con accoppiamento casuale,In caso di effetto del fondatore,In caso di collo di bottiglia,Una popolazione antica con limitato flusso genico,Una popolazione piccola con accoppiamento casuale
Quale dei seguenti è un esempio di deriva genetica?,Una piccola popolazione di lupi che perde un allele a causa di un evento casuale,Una specie di uccello che evolve un becco più lungo per accedere al nettare nei fiori,Una popolazione di conigli che cambia colore per mimetizzarsi con l'ambiente circostante,Una popolazione di pesci che sviluppa pinne più forti per nuotare,Una specie vegetale che si adatta alle condizioni di siccità riducendo la perdita di acqua
"Tenendo a mente il concetto di deriva genetica, quale delle seguenti affermazioni è VERA?",Può portare alla fissazione di alleli anche se non vantaggiosi,Non ha alcun effetto sulla variabilità genetica,È influenzato dalla selezione naturale,Determina adattamento in popolazioni di grandi dimensioni,Si verifica solo in popolazioni numerose
Quale dei seguenti fenomeni può derivare della deriva genetica?,Variazioni casuali delle frequenze alleliche,Selezione direzionale,Aumento della diversità genetica,Diminuzione delle dimensioni della popolazione,Aumento del flusso genico tra le popolazioni
Quale delle seguenti è un'importante differenza tra la deriva genetica e la selezione naturale?,"La deriva genetica è un processo casuale, mentre la selezione naturale no","La deriva genetica porta alla fissazione di alleli benefici, mentre la selezione naturale no","La deriva genetica porta sempre a cambiamenti adattativi, mentre la selezione naturale no","La deriva genetica riguarda gli individui, mentre la selezione naturale no","La deriva genetica si verifica solo in grandi popolazioni, mentre la selezione naturale no"
Quale dei seguenti fattori può aumentare gli effetti della deriva genetica?,Numero limitato di effettivi nella popolazione (Ne),Forte selezione naturale,Alto tasso di mutazione,Elevato flusso genico,Grande dimensione della popolazione
Quale affermazione è VERA in riferimento alla deriva genetica?,Può portare alla perdita di variazione genetica nel tempo,Non ha alcun effetto sulla composizione genetica complessiva di una popolazione,È più probabile che si verifichi in popolazioni con un elevato flusso genico,Si traduce sempre nell'adattamento di una popolazione all'ambiente,Si verifica a causa di una selezione deliberata da parte dell'uomo
Qual è la causa essenziale della deriva genetica?,Il caso,Ricombinazione genetica,Mutazione,Il flusso genico,La selezione naturale
Quale dei seguenti elementi descrive meglio la selezione naturale?,Il processo con cui le popolazioni naturali si adattano al loro ambiente attraverso il cambiamento della frequenza degli alleli.,La trasmissione di informazioni genetiche dai genitori alla progenie,Il movimento di individui da una popolazione a un'altra,Si traduce sempre nell'adattamento di un individuo all'ambiente,L'allevamento deliberato di organismi da parte dell'uomo
Quale dei seguenti è un esempio di selezione naturale?,Una popolazione di uccelli che sviluppa becchi più lunghi per accedere a nuove fonti di cibo,Gli ingegneri progettano un pannello solare più efficiente,Ereditarietà di caratteri fenotipici,L'essere umano che addomestica lupi,Biotecnologi che modificano il DNA delle piante rendendole resistenti ai parassiti
Quale delle seguenti affermazione descrive una caratteristica della selezione naturale?,È determinata da fattori ambientali,È un processo casuale,Porta sempre al miglioramento di una specie,Si verifica solo nelle popolazioni umane,È influenzato dall'intervento umano
"Cosa s'intende con il termine ""selezione artificiale""?",Gli esseri umani influenzano direttamente la variazione genetica di una popolazione,Gli esseri umani non influenzano direttamente la variazione genetica di una popolazione,La fluttuazione casuale delle frequenze alleliche in una popolazione,Il movimento di individui da una popolazione a un'altra,Il processo con cui gli organismi si adattano all'ambiente attraverso cambiamenti genetici
Quale dei seguenti è un esempio di selezione artificiale?,L'allevamento di cani per ottenere caratteristiche specifiche,Una popolazione di lupi selvatici che evolve nel tempo verso dimensioni maggiori,Lo sviluppo di una resistenza agli antibiotici nei batteri,La diversificazione delle specie di fringuelli nelle isole Galapagos,L'adattamento delle piante agli ambienti aridi
Quale delle seguenti è una differenza tra selezione naturale e selezione artificiale?,"La selezione naturale è guidata da fattori ambientali, mentre la selezione artificiale è guidata dall'intervento umano","La selezione naturale avviene solo nelle popolazioni umane, mentre la selezione artificiale avviene in tutte le popolazioni","La selezione naturale porta sempre al miglioramento di una specie, mentre la selezione artificiale può non farlo","La selezione naturale è guidata da fattori ambientali, mentre quella artificiale da mutazioni genetiche","La selezione naturale porta alla perdita di diversità genetica, mentre la selezione artificiale aumenta la diversità genetica"
Quale delle seguenti affermazioni è VERA a proposito della selezione naturale?,Agisce su tratti ereditabili che influenzano il successo riproduttivo,Porta sempre all'estinzione delle specie,Si verifica solo in popolazioni numerose,È un processo casuale guidato da eventi fortuiti,È influenzato dall'intervento umano
Quale dei seguenti è un potenziale risultato della selezione artificiale?,Perdita di tratti indesiderati in una popolazione,Conservazione degli habitat naturali,Distruzione di habitat naturali,Cambiamenti casuali nelle frequenze alleliche,Aumento della diversità genetica all'interno di una popolazione
Quale dei seguenti fattori può direttamente influenzare l'efficacia della selezione naturale?,Diversità genetica all'interno di una popolazione,L'intervento umano nelle pratiche di allevamento,Variazioni casuali delle frequenze alleliche,Manipolazione artificiale delle condizioni ambientali,Presenza di alleli dominanti nella popolazione
Quale delle seguenti affermazioni è VERA riguardo la selezione artificiale?,È esclusivamente vantaggiosa per l'uomo,È basata su eventi casuali,Avviene solo in popolazioni di piccole dimensioni,Aumenta la diversità genetica,È un fenomeno naturale
"Cosa s'intende con il termine ""apoptosi""?",Il processo di morte cellulare programmata,Il processo di divisione cellulare,Il processo di differenziazione cellulare,Il processo di migrazione cellulare,Il processo del metabolismo cellulare
Quale delle seguenti è una caratteristica dell'apoptosi?,Contrazione e condensazione cellulare,Proliferazione cellulare incontrollata,Formazione di tessuto fibroso,Formazione di tessuto cicatriziale,Sviluppo di neoplasie
Qual è lo scopo del processo di apoptosi negli organismi multicellulari?,Eliminare cellule danneggiate e indesiderate,Migliorare il metabolismo cellulare,Promuovere la crescita incontrollata delle cellule,Innescare una risposta immunitaria,Riparare i tessuti danneggiati
Quale dei seguenti fattori può innescare l'apoptosi?,Esposizione a tossine o radiazioni,Divisione cellulare,Formazione di tessuto cicatriziale,Impulso nervoso,Aumento della glicemia
"Nello sviluppo e nella differenziazione cellulare, l'apoptosi viene definita:",fisiologica,neoplastica,infiammatoria,immunitaria,emopoietica
Quale delle seguenti è una cellula primaria coinvolta nella risposta immunitaria cellulare?,Cellula T,Eritrocita,Epatocita,Neurone,Cellula staminale
Quale delle seguenti è una caratteristica delle cellule T?,Riconoscimento degli antigeni,Esocitosi di agenti patogeni,Pinocitosi di antigeni,Fagocitosi di agenti patogeni,Produzione di anticorpi
Quale tipo di cellula T è responsabile dell'uccisione diretta delle cellule infette?,Cellula T citotossica,Cellula T di memoria,Cellula T regolatoria,Cellula T helper,Cellula T soppressore
Quale delle seguenti è una funzione delle cellule natural killer (NK)?,Uccidere cellule infette,Produzione di anticorpi,Fagocitosi di agenti patogeni,Regolazione delle risposte immunitarie,Presentazione di antigeni alle cellule T
"Quali cellule, tra quelle elencate, sono responsabili della presentazione degli antigeni alle cellule T?",Macrofagi,Neutrofili,Cellule B,Eosinofili,Mastociti
Quale delle seguenti è una caratteristica delle cellule T della memoria?,Sono longeve e forniscono un'immunità a lungo termine,Si differenziano in varie cellule immunitarie specializzate,Sono coinvolte nella risposta immediata ad un'infezione,Producono anticorpi per neutralizzare gli agenti patogeni,Sopprimono la risposta immunitaria per evitare un'infiammazione eccessiva
"Quali cellule, tra quelle elencate, sono responsabili dell'ingestione e della digestione di agenti patogeni e detriti cellulari?",Neutrofili,Cellule B,Cellule T,Plasmacellule,Immunoglobuline
Quale delle seguenti è una funzione delle cellule T helper?,Coordinare e amplificare la risposta immunitaria,Uccidere direttamente le cellule infette,Produrre anticorpi,Sopprimere le risposte immunitarie,Avviare la coagulazione del sangue
Quali cellule sono coinvolte nella risposta allergica e rilasciano istamina?,Mastociti,Linfociti T soppressori,Linfociti T citotossici,Cellule della memoria,Linfociti T helper
Quale delle seguenti è una caratteristica della risposta immunitaria cellulo-mediata?,Riconoscimento specifico di antigeni da parte delle cellule T,Insorgenza rapida dopo la riesposizione a un agente patogeno,Mediata dagli anticorpi,Principalmente coinvolta nelle reazioni allergiche,Attivazione delle proteine del complemento
Cosa sono gli anticorpi?,Proteine prodotte dalle cellule B,Proteine secrete dalle cellule T,Cellule coinvolte nella fagocitosi,Molecole che trasportano l'ossigeno nel sangue,Enzimi coinvolti nella replicazione del DNA
Qual è la funzione degli anticorpi nel sistema immunitario?,Neutralizzazione degli agenti patogeni,Fagocitosi degli agenti patogeni,Attivazione delle cellule T,Formazione di coaguli di sangue,Produzione di citochine
Quale parte strutturale dell'anticorpo è responsabile del legame con antigeni specifici?,Regioni variabili,Regione Fc,Regioni costanti,Catene leggere,Catene pesanti
Quale classe di anticorpi è la più abbondante nel nostro sangue?,IgG,IgE,IgD,IgA,IgM
Quale classe di anticorpi è coinvolta nelle reazioni allergiche?,IgE,IgA,IgD,IgG,IgM
Quale classe di anticorpi è la prima a essere prodotta durante una risposta immunitaria primaria?,IgM,IgE,IgD,IgA,IgG
"Quale classe di anticorpi si trova prevalentemente nei liquidi corporei come lacrime, saliva e latte materno?",IgA,IgG,IgD,IgM,IgE
Quale classe di anticorpi è coinvolta nel riconoscimento di antigeni self e non-self?,IgD,IgM,IgA,IgG,IgE
Quale parte dell'anticorpo viene riconosciuta dalle cellule immunitarie come i macrofagi e le cellule natural killer (NK)?,Regione Fc,Catene pesanti,Catene leggere,Regioni variabili,Regioni costanti
"Quale, tra le teorie proposte, spiega il fatto che alcune mutazioni siano silenti?",Il codice genetico è ridondante,Il codice genetico è abbondante,Non vengono tradotte,Sono eliminate con lo splicing,Il codice genetico è specifico e universale
"La sensibilità alla PTC (feniltiocarbamide) nell'uomo è controllata da un locus con due alleli: alcune persone trovano questo composto molto amaro e sono chiamati ""tasters"", altri chiamati ""non tasters"" lo trovano invece privo di sapore. La differenza dipende dal fatto che l'allele taster (T) è dominante su quello non taster (t). Dunque da un incrocio tra due genitori eterozigoti che probabilità si ha di avere un individuo ""non taster""?",0.25,0.35,0.5,0.75,0
"La sensibilità alla PTC (feniltiocarbamide) nell'uomo è controllata da un locus con due alleli. Alcune persone trovano questo composto molto amaro; essi sono chiamati tasters (gustatori) per PTC. Altri (non tasters) lo trovano privo di sapore. La differenza dipende da una semplice alterazione mendeliana, in cui l'allele taster (T) è dominante su quello non taster (t). Da un incrocio tra due genitori eterozigoti che probabilità si ha di avere un individuo identico genotipicamente ai genitori?",0.5,0.35,0.26,0.75,0
"Quale interazione ecologica prevede una relazione stretta e prolungata tra due specie diverse, da cui entrambe traggono beneficio?",Mutualismo,Commensalismo,Simbiosi,Parassitismo,Selezione R
"Quale interazione ecologica prevede una relazione stretta e prolungata tra due specie diverse, da cui una sola ne trae beneficio?",Commensalismo,Mutualismo,Simbiosi,Parassitismo,Selezione R
"Quale interazione ecologica prevede una relazione stretta e prolungata tra due specie diverse, da cui una specie trae beneficio?",Parassitismo,Mutualismo,Simbiosi,Commensalismo,Selezione R
Quale classe di anticorpi è coinvolta nella risposta immunitaria contro le infezioni parassitarie?,IgE,IgA,IgM,IgD,IgG
I corpi di Barr sono composti principalmente da:,DNA inattivato,eucromatina,DNA a singolo filamento,RNA,geni attivi
I corpi di Barr si trovano tipicamente nelle cellule di mammiferi di genere:,femminile,maschile,neutro,maschi,ermafrodita
Due individui eterozigoti per il tratto falciforme (HbAS) hanno un figlio. La malattia falciforme è una malattia autosomica recessiva. Determinare i rapporti tra genotipi della prole.,"25% HbAA (omozigote normale), 50% HbAS (eterozigoti), 25% HbSS (omozigote falciforme)","50% HbAA (omozigote normale), 25% HbAS (eterozigoti), 25% HbSS (omozigote falciforme)","50% HbAS (eterozigoti), 50% HbSS (omozigote falciforme)","25% HbAA (omozigote normale), 25% HbAS (eterozigoti), 50% HbSS (omozigote falciforme)",100% HbAS (eterozigoti)
"Due individui con gruppo sanguigno A e genotipo A0 hanno un figlio.
Determinare i possibili gruppi sanguigni dei loro figli.",A e O,Solo A,Solo O,B,AB
"Come viene definita la tipologia d'interazione genica mostrata nel diagramma rappresentato?
",epistasi,pleiotropia,codominanza,dominanza incompleta,allelia multipla
"Lo schema in figura mostra un caso di epistasi: prendendo in considerazione ad esempio una pianta di zucca, di quale colore sarà il frutto con un genotipo AAbb?
",Bianco,Verde,Giallo,Nero,Grigio
"Lo schema in figura mostra un caso di epistasi: prendendo in considerazione ad esempio una pianta di zucca, di quale colore sarà il frutto con un genotipo aaBB?
",Giallo,Verde,Bianco,Nero,Grigio
"Lo schema in figura mostra un caso di epistasi: prendendo in considerazione ad esempio una pianta di zucca, di quale colore sarà il frutto con un genotipo aabb?
",Verde,Giallo,Bianco,Nero,Grigio
"Quale riga nella tabella indica correttamente il sito di fermentazione dell'alcol nel lievito e il sito del Ciclo di Calvin nelle cellule della guaina del fascio nelle piante C4?
",Riga 1,Riga 2,Riga 3,Riga 4,Riga 5
"Quale riga nella tabella indica correttamente il sito di fermentazione lattica nelle cellule muscolari e il sito del Ciclo di Calvin nelle cellule del mesofillo?
",Riga 1,Riga 2,Riga 3,Riga 4,Riga 5
Indicare la sede di latenza del virus dell'Herpes Zoster.,I gangli sensoriali,Le ghiandole salivari,Le cellule piramidali,I linfociti,I melanociti
Quale dei seguenti NON è un componente della doppia elica del DNA?,Uracile,Timina,Desossiribosio,Adenina,Gruppo fosfato
Che cos'è l'ACTH e che funzioni ha?,"È l'ormone adrenocorticotropo, o corticotropina, prodotto dall'ipofisi anteriore. Stimola la corteccia surrenale che a sua volta produce glucocorticoidi","È l'ormone adrenocorticotropo, che viene prodotto dall'ipofisi intermedia e stimola la produzione del cortisolo","È la corticotropina, ormone prodotto dalla corteccia surrenale, che stimola la produzione dei corticosteroidi da parte delle cellule contenute nella porzione midollare del surrene","È l'ormone, prodotto dall'ipofisi, che stimola la produzione di T4 e T3 da parte della tiroide. I livelli plasmatici di T4 e T3 regolano la produzione di ACTH","È il cosiddetto ormone della crescita, detto anche GH, secreto dal lobo anteriore dell'ipofisi, la cui funzione è quella di regolare la crescita dell'organismo"
Quale dei seguenti NON è uno dei componenti della membrana cellulare?,Trigliceridi,Fosfolipidi,Colesterolo,Proteine,Glicolipidi
L'idrolisi del glicogeno avviene:,nel reticolo endoplasmatico liscio,nei mitocondri,nell'apparato del Golgi,nel reticolo endoplasmatico rugoso,nel citoplasma delle cellule muscolari
Si consideri il ciclo lisogeno di un fago. Quale delle seguenti affermazioni è ERRATA?,Durante il ciclo lisogeno tutti i geni del fago sono attivi,Permette al fago di propagarsi senza uccidere le cellule ospiti,Il DNA del fago viene integrato nel genoma della cellula ospite,Non comporta il rilascio di nuove particelle fagiche,"Ogni volta che la cellula ospite si duplica, duplica il genoma del fago insieme al proprio"
"Quale vitamina, se carente, causa lo scorbuto?",Vitamina C,Vitamina B12,Vitamina D3,Vitamina D2,Vitamina A
La fotorespirazione:,diminuisce l'efficienza della fotosintesi,aumenta l'efficienza della fotosintesi,avviene quando l'anidride carbonica viene legata al ribulosio,avviene maggiormente nelle zone poco soleggiate e con clima molto freddo,è un sinonimo di fotosintesi
I cromosomi non sessuali sono definiti:,autosomi,telocentrici,metacentrici,giganti,ad anello
"In natura esistono diverse sostanze mutagene che possono indurre mutazioni nel genoma che si manifestano con malattie. Tra essi ci sono i cosiddetti ""intercalanti"". Essi:",possono inserirsi più o meno stabilmente tra due coppie di basi,hanno una struttura molto simile a quella delle normali basi,determinano una modificazione nella struttura chimica delle basi,possono determinare l'insorgenza di mutazioni per sostituzione di basi,determina mutazioni definite spontanee
Quale tra le seguenti NON è una delle vie metaboliche che portano all'ossidazione completa del glucosio?,Il ciclo C3,La glicolisi,La sintesi di Acetil-CoA,Il ciclo dell'acido citrico,La fosforilazione ossidativa
"Quale tra i seguenti fattori di trascrizione è definibile come ""pro- apoptotico""?",TNF,EGF,FGF,IGF,SHH
La cellula batterica:,nessuna delle altre alternative è corretta,ha struttura eucariotica,ha DNA lineare,è sempre provvista di parete rigida,presenta ergosterolo nella propria parete batterica
La fase luminosa della fotosintesi avviene:,nei tilacoidi,nello stroma,nel nucleo,nel citoplasma,nel mitocondrio
Indicare quale delle affermazioni riguardo all'ultima reazione della glicolisi NON è corretta:,è catalizzata dall'enzima enolasi,si genera enolpiruvato,avviene una reazione esoergonica,si genera ATP,si forma piruvato
Qual è la sequenza più logica per elencare le seguenti strutture anatomiche?,"Tibia, tarso, metatarso, falangi","Tibia, metatarso, tarso, falangi","Falangi, tarso, metatarso, tibia","Falangi, tibia, tarso, metatarso","Tibia, falangi, metatarso, tarso"
Quali tra i seguenti fattori NON turba l'equilibrio di Hardy-Weinberg?,Panmissia,Selezione,Popolazione ristretta,Mutazione,Migrazione
"Se una donna portatrice sana di una malattia legata al cromosoma X e un uomo sano hanno dei figli, quale dei seguenti casi NON può verificarsi?",Avere un figlio portatore sano,Avere una figlia sana non portatrice della malattia e una figlia portatrice sana,Avere un figlio sano,Avere un figlio malato,Avere un figlio e una figlia entrambi sani non portatori della malattia
Quale dei seguenti animali NON è un anfibio?,Lucertola,Rospo,Rana,Salamandra,Tritone
Quale tra le seguenti funzioni NON viene svolta dalle proteine associate alla membrana plasmatica?,Funzione di degradazione delle sostanze tossiche,Funzione di trasporto per formazione di canali,Funzione enzimatica,Funzione strutturale,Funzione di trasporto grazie alla presenza di siti di legame per ioni o molecole
Indicare l'affermazione ERRATA riguardo al trasporto attivo primario:,la sua velocità dipende dalla composizione in lipidi della membrana,trasporta molecole contro gradiente di concentrazione,è assicurato nella maggior parte dei casi da ATPasi,consuma ATP,ne è un esempio la pompa sodio-potassio
I gameti sono:,cellule aploidi,cellule somatiche,cellule diploidi,cellule specializzate di alcuni organismi vegetali,organuli cellulari
La struttura cellulare deputata alla respirazione è:,il mitocondrio,il reticolo endoplasmatico ruvido,l'apparato di Golgi,il nucleolo,il reticolo endoplasmatico liscio
Il tRNA ha la funzione di:,trasportare amminoacidi,costituire il sito di assemblaggio del ribosoma,produrre proteine,trascrizione dell'RNA,codificare sequenze di triplette
Se un individuo è di gruppo sanguigno 0:,potrebbe essere figlio di due genitori di gruppo A,entrambi i suoi genitori sono sicuramente di gruppo 0,almeno uno dei suoi genitori è sicuramente di gruppo 0,potrebbe avere un genitore di gruppo AB e l'altro di gruppo 0,"potrebbe essere figlio di un genitore di gruppo A e l'altro di gruppo B, purché siano entrambi omozigoti"
Quali delle seguenti malattie NON può essere curata con un antibiotico?,Poliomielite,Colera,Tifo,Tubercolosi,Difterite
Una coppia ha avuto tre figli maschi. Qual è la probabilità che il quarto figlio sia maschio?,1/2,1/4,3/4,1/8,7/8
Le mutazioni silenti:,trasformano un codone in un codone sinonimo,avvengono solo in geni non espressi,avvengono solo in regioni non codificanti del genoma,causano la produzione di una proteina anomala che non ha però effetti sul fenotipo dell'individuo,avvengono solo negli introni
Indicare in ordine gli organi dell'apparato digerente.,Bocca – esofago – stomaco – intestino,Stomaco – bocca – intestino – esofago,Esofago – stomaco – intestino – bocca,Bocca – stomaco – intestino – esofago,Bocca – esofago – intestino – stomaco
Quale delle seguenti frasi relative alla coclea è FALSA?,È l'organo dell'equilibrio costituito da due camere,È un canale avvolto a spirale,È percorso da due membrane che la dividono in tre canali paralleli,Contiene l'organo del Corti con cellule ciliate,Contiene l'endolinfa e la perilinfa
Quale tra le seguenti affermazioni è FALSA?,I filamenti spessi sono formati da molecole di actina,Le teste globulari della miosina servono per agganciare l'actina,La membrana plasmatica delle cellule muscolari è chiamata sarcolemma,I tubuli T partono dalla membrana plasmatica e vanno verso l'interno della cellula muscolare,La tropomiosina e la troponina sono associate ai filamenti sottili
L'anticodone è una sequenza di:,tre nucleotidi nel braccio A del tRNA,tre nucleotidi sul ribosoma,due nucleotidi a cui corrisponde un amminoacido,due nucleotidi sull'ansa centrale del tRNA,tre nucleotidi sul braccio di destra del tRNA
Quale delle seguenti triplette causa la terminazione della traduzione?,UGA,UAC,AUG,CAG,GCC
"Il processo attraverso il quale un fago lisogeno trasferisce da un batterio ad un altro un particolare frammento del genoma batterico, vicino al punto di inserzione del genoma fagico, si chiama:",trasduzione specializzata,trasduzione generalizzata,traduzione,coniugazione,trasformazione
"Se un individuo eterozigote manifesta un fenotipo intermedio tra quello dei due omozigoti, potrebbe trattarsi di:",dominanza incompleta,codominanza,eredità poligenica,pleiotropia,allelia multipla
Quale dei seguenti NON è un ormone prodotto dall'adenoipofisi?,Cortisolo,Ormone della crescita,Prolattina,Ormone follicolo-stimolante,Ormone luteinizzante
La struttura primaria di una proteina è data:,dalla sequenza degli amminoacidi che la costituiscono,dal numero dei ponti disolfuro presenti,dal numero dei legami ionici presenti,dal peso molecolare,dal numero degli amminoacidi che la costituiscono
I virus:,sono formati da un involucro proteico con all'interno l'acido nucleico,sono parassiti intracellulari facoltativi,sono chiamati capsidi all'esterno della cellula ospite,hanno il genoma costituito solo da DNA,hanno il genoma costituito solo da RNA
Quando un singolo allele controlla più di un carattere si parla di:,pleiotropia,poliallelia,codominanza,epistasi,mutazione
"I geni A, B e C non sono associati tra di loro. Un individuo con genotipo AaBbCc, per i suddetti geni, produce:",otto diversi tipi di gameti,nove diversi tipi di gameti,sei diversi tipi di gameti,tre diversi tipi di gameti,un solo tipo di gamete
Quale delle seguenti affermazioni riguardo lo splicing è ERRATA?,Avviene nel citoplasma,È effettuato dallo spliceosoma,Consiste nella rimozione degli introni,Fa parte del processo di maturazione dell'mRNA,Deve essere molto preciso
Quale delle seguenti affermazioni sulla circolazione venosa è vera?,All'ingresso nelle venule la pressione sanguigna è insufficiente per raggiungere il cuore,La gravità terrestre in nessun caso influisce sulla circolazione venosa,Alla circolazione venosa non contribuisce la contrazione muscolare,Tutti i vasi della circolazione venosa sono provvisti di valvole a nido di rondine,Vene e venule contengono uno strato di elastina più sottile rispetto alle arterie
Indica quale delle seguenti affermazioni relative alle specie vegetali è ERRATA.,In tutte le specie vegetali conosciute la fase luminosa della fotosintesi e la fissazione del carbonio avvengono nelle stesse cellule,Nella maggior parte delle specie vegetali conosciute la fase luminosa della fotosintesi e il ciclo di Calvin avvengono nelle stesse cellule,In alcune specie vegetali la fissazione del carbonio avviene in cellule diverse da quelle in cui avviene la fase luminosa,"In molte specie vegetali note avviene, in maniera più o meno accentuata, il fenomeno della fotorespirazione",Molte specie vegetali che vivono in climi tropicali separano fisicamente o temporalmente la fase luminosa della fotosintesi dal ciclo di Calvin
Le fosfatasi degli eucarioti:,possono agire su tirosina e serina,sono sempre tirosina-specifiche,sono proteine ad emivita brevissima (< 1 ms),sono per lo più mitocondriali,nessuna delle risposte è corretta
Per trisomia 21 si intende:,la presenza di tre copie del cromosoma 21,la presenza di tre cromosomi 21 nelle sole cellule somatiche,la presenza di tre cromosomi 21 nelle cellule delle donne oltre i 35 anni,la presenza di tre cromosomi 21 nelle sole cellule riproduttive,una condizione di triploidia
Le traslocazioni bilanciate:,non comportano perdita o guadagno di materiale genico,sono patologiche solo se de novo,sono patologiche solo quando uno dei punti di rottura cade a livello di un gene sensibile al dosaggio,sono sempre patologiche,sono patologiche solo se viene perso un derivativo
L'atrio destro comunica con il corrispondente ventricolo attraverso:,l'orifizio regolato dalla valvola tricuspide,l'orifizio regolato dalle valvole semilunari,l'ostio arterioso,l'orifizio regolato dalla valvola di Eustachio,nessuna delle strutture elencate nelle altre alternative
Quale delle seguenti malattie potrebbe essere curata con un antibiotico?,Colera,Parotite,Morbillo,Rosolia,Poliomielite
"Un individuo affetto da una malattia autosomica dominante, a meno di mutazioni de novo:",ha sicuramente almeno un genitore affetto,avrà sicuramente figli affetti,potrebbe essere figlio di due portatori sani,è sicuramente omozigote dominante,è sicuramente omozigote recessivo
Quale delle seguenti è la funzione principale del reticolo endoplasmatico liscio?,Sintetizzare i lipidi,Partecipare alla sintesi delle proteine di membrana,Digerire le sostanze di rifiuto,Svolgere la respirazione cellulare,Far avvenire la fotosintesi clorofilliana
"L'ossigeno si diffonde liberamente attraverso la membrana delle cellule.
Quando passa dall'ambiente esterno all'interno significa che:",il movimento avviene secondo gradiente,l'interno della cellula è povero di anidride carbonica,il movimento avviene contro gradiente,il passaggio richiede energia,l'interno è isotonico con l'esterno
Quale delle seguenti malattie è autosomica recessiva?,Anemia mediterranea,Alzheimer,Cancro,Diabete,Ipertensione
