Question,Answer A,Answer B,Answer C,Answer D,Answer E
In quale delle seguenti soluzioni acquose si determina il maggior innalzamento ebullioscopico rispetto all’acqua pura?,"C12H22O11 0,750 mol/l","NaClO3 0,370 mol/l","KNO2 0,365 mol/l","CaCl2 0,240 mol/l","Na3PO4 0,180 mol/l"
In quale delle seguenti molecole si riscontra una geometria lineare?,Acetilene,Propene,Acetone,Butano,Cicloesano
Quale delle seguenti soluzioni acquose può avere pH = 7 in condizioni standard?,"BaBr2 0,0001 M","NH4Br 0,001 M","Li2CO3 0,01 M","KCN 0,005 M","CH3COONa 0,001 M"
"Quale è la concentrazione molare di una soluzione acquosa costituita da 100 g di CaBr2 in 2,5 litri di soluzione?
(MA del calcio = 40 u; MA del bromo = 80 u)","0,2 M","0,1 M",2 M,"2,5 M","0,4 M"
A quale gruppo di elementi appartiene il Bario?,Metalli alcalino-terrosi,Metalli alcalini,Metalli di transizione,Alogeni,Terre rare
Qual è il nome tradizionale del composto che ha formula Sn(OH)4?,Idrossido stannico,Idrossido stannoso,Tetraidruro stannico,Acido tetrassostannoso,Tetraidruro stannoso
Il primo gruppo della tavola periodica è formato dai metalli alcalini che:,reagiscono violentemente con l'acqua,hanno un elettrone nell’orbitale p più esterno,formano composti alogenati per reazione con l’acqua,sono più elettronegativi dei semimetalli,reagiscono solo con gli alogeni
"Il numero di massa (A) di un atomo, indicato sulla tavola periodica che cosa rappresenta?",Il numero di protoni e di neutroni presenti nel nucleo,Il numero totale di elettroni,Il numero di protoni,Il numero di neutroni,Nessuna delle altre alternative è corretta
Quanti atomi di carbonio ha l'acido oleico?,18,16,20,4,6
Per quale ragione un aumento della temperatura in generale provoca un aumento della velocità di una reazione chimica?,Aumenta l’energia cinetica media delle molecole,Diminuisce la frazione di molecole che oltrepassano la barriera di attivazione,Aumenta l’energia di attivazione della reazione,Diminuisce l’energia dello stato di transizione della reazione,Aumenta la differrenza di energia libera tra reagenti e prodotti
La formula bruta del propene è:,C3H6,C4H10,C3H5OH,C5H10,C6H6
Il gruppo funzionale COOH distingue quale classe di composti organici?,Acidi carbossilici,Alcoli,Ammine,Tioli,Chetoni
"L’equazione chimica non bilanciata della combustione del propene è: C3H6 + O2 → CO2 + H2O.
Quanti litri di anidride carbonica si formano dalla combustione completa di 5,0 litri di propene, considerando tutti i gas nelle medesime condizioni di temperatura e pressione?",15,22.4,6,10,11.2
"La seguente equazione chimica: 2KOH + H2SO4 → K2SO4 + 2H2O
rappresenta una reazione di:",doppio scambio,scambio semplice,sintesi,decomposizione,ossidoriduzione
Quale delle seguenti soluzioni acquose è basica?,"Li2CO3 0,01 M","CaBr2 0,1 M","NH4Br 0,001 M","Ca2SO4 1,0 M","Ba(ClO4)2 0,1 M"
Come può essere definita la reattività chimica?,La capacità di una sostanza di interagire con altre sostanze per dar luogo a una reazione chimica,La capacità di dissoluzione in un solvente polare o apolare,La capacità di un composto di scindersi nei suoi componenti fondamentali,L'impossibilità di modificare lo stato fisico di un composto,La possibilità di produrre un determinato composto attraverso reazioni chimiche
Come vengono comunemente chiamate le analisi spettrofotometriche che utilizzano radiazioni nello spettro del visibile?,Colorimetriche,Gravimetriche,Voltammetriche,Potenziometriche,Polarografiche
"Nello spettro della luce visibile, a quale dei seguenti colori corrisponde una lunghezza d’onda di assorbimento maggiore?",Rosso,Arancione,Violetto,Blu,Giallo
In che cosa consiste una struttura di Lewis di una molecola?,"Il simbolo chimico di ogni atomo, circondato da punti che rappresentano i suoi elettroni di valenza ed ogni legame è individuato dalla condivisione di due elettroni tra due atomi",Il simbolo chimico di ogni atomo unito con linee agli altri atomi,Ogni elemento rappresentato dal suo simbolo chimico e il numero di atomi di ogni elemento indicato con un numero subscritto se è diverso da uno,Ogni elemento rappresentato dal suo simbolo chimico e viene indicato il rapporto numerico minimo rispetto agli altri elementi,Linee che rappresentano i legami che uniscono gli atomi di carbonio in un composto organico
Come viene chiamato un composto binario di metallo e ossigeno?,Ossido basico,Anidride,Acido,Idrossido,Etere
Che cosa è l'inerzia chimica in un materiale?,La resistenza di un materiale alla corrosione e alla ossidazione,La resistenza di un materiale rispetto alla deformazione meccanica,La resistenza di un materiale allo sfregamento durante il lavaggio,La quantità di sostanza che viene assorbita da un materiale esposto alle intemperie,La resistenza di un alimento al rilascio di sostanze durante la cottura
"Qual è il volume di una soluzione acquosa di HCl 0,5 M necessaria per neutralizzare 0,025 l di soluzione acquosa 1 M di NaOH?","0,05 l","0,025 l","0,005 l","0,25 l","0,045 l"
bilanciata della reazione chimica è: P4 + 3KOH + 3H2O → PH3 + 3KH2PO2,186 g,"4,5 mol","3,0 mol",15 g,"139,5 g"
Qual è il numero di ossidazione dell’azoto nell’acido nitroso?,3,5,2,–3,–2
"Il mercurio (Hg) è un elemento che in condizioni ambiente si trova allo stato liquido, a quale tipo appartiene?",Metalli di transizione,Alogeni,Metalli alcalini,Metalloidi,Metalli alcalino-terrosi
Qual è la caratteristica di un acido di Lewis?,Può formare un nuovo legame accettando elettroni,Può formare un nuovo legame di coordinazione donando elettroni,È sempre un atomo singolo,È sempre una molecola,È in grado di scindersi in ioni H+ e un controanione
"Qual è la massa di NaNO3 necessaria per preparare 500 ml di una soluzione acquosa 0,4 M?
(MA del sodio = 23,0 u; MA dell’azoto = 14,0 u)","17,0 g","34,0 g","8,5 g","25,5 g","65,0 g"
Qual è il nome del composto organico di formula CH3OH?,Metanolo,Etanolo,Etano,Propanolo,Metano
Quale tra i seguenti composti contiene un gruppo funzionale -SH?,Butantiolo,2-Metilpropene,2-Butino,Iodoetano,Propanale
Nel saggio analitico alla fiamma di che colore è la fiamma sprigionata dal sodio?,Giallo,Verde,Blu,Lilla,Arancione
L'isomeria cis-trans in etilene e propilene:,non può esistere,avviene solo in condizioni molto diluite,può esistere in propilene e non in etilene,può esistere in entrambi,avviene solo ad altissima pressione
"La concentrazione molare di una soluzione acquosa di LiCl al 4,24% m/V è:
(MA del litio: 6,9 u; MA del cloro: 35,5 u)","1,0 M","0,1 M","2,0 M","0,4 M","0,25 M"
Quanti elettroni contengono gli orbitali p del livello di valenza di un alogeno?,5,6,7,2,1
La configurazione elettronica esterna 2s22p4 appartiene a quale dei seguenti elementi?,O,Si,Al,Fe,Cr
Cosa caratterizza gli idrocarburi alifatici?,L'assenza di anelli aromatici,L'assenza di doppi legami nella loro struttura,La presenza di almeno un anello aromatico nella struttura,La presenza di legami doppi o tripli nella loro struttura lineare,La presenza di soli doppi legami
Indica quale delle seguenti soluzioni in condizioni normali ha la pressione osmotica più bassa.,"Una soluzione 1,5 molare in glucosio","Una soluzione 1,0 molare di KCl","Una soluzione 1,6 molare di destrosio","Una soluzione 2,0 molare di ioni Li+","Una soluzione 1,5 molare di LiBrO"
Si consideri la seguente equazione chimica non bilanciata: Cr(OH)3 + PbO2 + NaOH → Na2CrO4 + Pb(OH)2 + H2O. In questa reazione chimica:,il piombo è l’ossidante e acquista elettroni mentre il cromo è il riducente e perde elettroni,il piombo è il riducente e acquista elettroni mentre il cromo è l’ossidante e perde elettroni,il piombo è l’ossidante e perde elettroni mentre il cromo è il riducente e acquista elettroni,il piombo è il riducente e perde elettroni mentre il cromo è l’ossidante e acquista elettroni,nessuna specie chimica si ossida e nessuna specie chimica si riduce
Un legame covalente apolare si instaura tra:,due atomi dello stesso elemento,due atomi di elementi diversi,due atomi con differenti elettronegatività,due atomi con valenze differenti,due atomi con dimensioni differenti
Si considerino un litro di CO e di CO2 gassosi. Se siamo nelle stesse condizioni di temperatura e pressione possiamo dire che:,contengono lo stesso numero di molecole,hanno lo stesso peso,esercitano pressione diversa sul recipiente,non esercitano nessuna pressione sul recipiente,nessuna delle altre alternative è corretta
"Quale, tra le seguenti coppie di specie chimiche, può costituire una soluzione tampone?",HClO e Ba(ClO)2,H2SO4 e Na2SO4,BaClO4 e Ba(OH)2,HCl e NaCl,KOH e KBr
Individuare la specie chimica anfotera.,"-
HSO3",H3O+,"+
NH4","2-
CO3",H2SO4
"Quale, tra i seguenti composti, è un idrocarburo aromatico policiclico?",Naftalene,Etilene,Propilene,Benzene,Nitrobenzene
A quale classe di composti organici appartiene la seguente sostanza: CH3- CH2-COO-CH3?,Esteri,Acidi carbossilici,Alcoli,Ammidi,Anidridi
Quali tipi di legami possono definire l'interazione tra un farmaco e un bersaglio biologico?,Tutte le alternative sono corrette,"A bassa energia (ionico, idrogeno, forze di Van der Waals)",Di tipo reversibile,Ad alta energia (covalente),Di tipo irreversibile (es. i farmaci alchilanti il DNA)
"A 8,0 l di una soluzione acquosa tampone con pH = 4 vengono aggiunti 2,0 l di acqua pura. Qual è il pH della soluzione ottenuta?",4,5,3,4.5,3.5
Qual è l'unità di misura dell'energia di legame tra due atomi cioè l'energia necessaria per rompere il legame che li unisce?,kilojoule per mole (kJ · mol-1),Newton per metro (N · m-1),Joule per grammo (J · g-1),Joule per kilogrammo (J · kg-1),Newton per mole (N · mol-1)
Quali composti chimici rappresentano gli elementi costituenti principali delle membrane cellulari?,I fosfolipidi,Gli steroli,I trigliceridi,Le proteine,I polisaccaridi
Quale delle seguenti sostanze ha un’elevata solubilità in acqua ma non forma una soluzione elettrolitica?,C12H22O11,C6H6,(NH4)3PO4,KOH,MgCl2
"Nell’estrazione di un soluto da una fase liquida ad un’altra, quale delle seguenti affermazioni è vera?",Molte estrazioni con piccoli volumi sono più efficaci di poche estrazioni di maggiore entità,Le estrazioni sono sempre indipendenti dal pH delle due fasi liquide,La frazione di soluto rimanente nella prima fase liquida è indipendente dai volumi delle due fasi,L’estrazione non può avvenire con l’aggiunta di sostanza ausiliarie,Nessuna delle alternative è corretta
Quale costante definisce la distribuzione di un soluto all’interno di due differenti fasi liquide?,Coefficiente di ripartizione,Coefficiente di distribuzione,Costante di ionizzazione,Costante di Boltzmann,Costante di Doppler
"Quando in un legame covalente gli elettroni sono uniformemente distribuiti tra i due atomi, come viene definito il legame?",Covalente puro,Covalente polare,Dativo,Legame a idrogeno,Ionico
Quale tipo di legami possono formare le molecole d'acqua tra di loro?,A idrogeno,Covalenti,Covalenti polarizzati,Di coordinazione,Interazioni di Van der Waals
Qual è l’isotopo radioattivo a più basso numero atomico?,Trizio,Deuterio,Prozio,Idrogeno,Elio
Quale dispositivo descrive un sistema formato da due soluzioni in cui avvengono semireazioni redox in soluzione e un ponte salino?,La pila di Daniell,Il sistema per l'elettrolisi del NaCl,Un'ossidazione catalitica,Una colonna di distillazione frazionata,Una colonna di separazione
"Quanti grammi di HClO3 è necessario aggiungere a 2,5 kg di acqua per preparare una soluzione acquosa 0,2 m?
(MA del cloro: 35,5 u)","42,25 g","84,5 g","21,0 g","25,0 g","75,25 g"
Che numero quantico differenzia gli elettroni di He?,Il numero quantico di spin,Il numero quantico principale,Il numero quantico secondario,Il numero quantico magnetico,Il numero quantico terziario
"Individuare i coefficienti stechiometrici che consentono di bilanciare la seguente equazione chimica:
aKMnO4 + bSO2 + cH2O → dKHSO4 + dMnSO4 + eH2SO4",a = 2; b = 5; c = 2; d = 2; e = 2; f = 1,a = 2; b = 4; c = 2; d = 2; e = 2; f = 1,a = 2; b = 5; c = 3; d = 2; e = 2; f = 1,a = 2; b = 5; c = 2; d = 1; e = 2; f = 1,a = 2; b = 5; c = 2; d = 2; e = 1; f = 1
Quale dei seguenti composti contenenti semimetalli presenta l’atomo con il numero di ossidazione più elevato?,H4SiO4,Sb2O3,BBr3,HBO2,H3AsO3
I fosfolipidi sono costituenti essenziali delle membrane cellulari grazie alla loro struttura chimica che:,presenta una testa polare e due code apolari di acidi grassi,è costituita da una testa apolare e una coda di acido grasso,consente loro di essere completamente miscibili con un solvente acquoso,è caratterizzata da legami peptidici,fornisce un composto totalmente idrofobico
"Quale, tra le seguenti specie chimiche, è un acido secondo la definizione di Lewis?",BF3,NH3,PH3,Ca(OH)2,O2
"Quante moli Na2CO3 sono contenute in 600 ml di una soluzione acquosa di Na2CO3 0,5 M?",0.3,0.5,5,3,0.6
"Si consideri la seguente equazione chimica bilanciata: Na2SO3 + 2HCl → 2NaCl + SO2 + H2O.
Facendo reagire 31,5 g di Na2SO3 con HCl in eccesso, quanti grammi di NaCl si formano?
(MA di Na = 23 u; MA di S = 32 u, MA di Cl = 35,5 u)",29.25,58.5,126,88,32
"La combustione del metano all’aria, reazione altamente esotermica, non avviene spontaneamente in condizioni ambiente. Per quale motivo?",L’elevata energia di attivazione,La bassa energia di attivazione,La bassa differenza di energia libera tra reagenti e prodotti,Lo stato di transizione a basso contenuto energetico,Nessuna delle alternative è corretta
"Qual è il pH di una soluzione acquosa che ha [H3O+] = 8,2· 10-10 mol/l?",9.1,10,8.2,7.5,11.4
In chimica analitica che cosa si intende con il termine “estrazione”?,Il trasferimento di un soluto da una fase liquida ad un’altra,Il trasferimento di una soluzione da un recipiente ad un altro,Il passaggio di una sostanza da una fase liquida ad una aeriforme,Il passaggio di un composto dallo stato in soluzione allo stato cristallizzato,La separazione di due sostanze liquide grazie alla loro diversa temperatura di ebollizione
Per quale tipo di analisi è particolarmente indicata la polarografia?,L’analisi di analiti presenti in tracce,L’analisi della polarizzazione di un solvente,La dissociazione in ioni di un soluto,Il rapporto tra soluti apolari,Nessuna delle alternative è corretta
Quanti elettroni ha il Silicio?,14,12,10,16,18
"Per ottenere 1,5 moli di idrossido ferrico, quante moli di idrossido d'ammonio sono necessarie? L'equazione bilanciata della reazione chimica è: FeCl3 + 3NH4OH → Fe(OH)3 + 3NH4Cl",4.5,1.5,3,1.75,1.06
"Nella molecola di cloruro di potassio (KCl), il legame tra il cloro e il potassio è un legame:",ionico,covalente omopolare,a idrogeno,dativo,covalente tra dipoli
"Vengono mescolati volumi uguali di due soluzioni acquose equimolari: una contiene acido solforico, l’altra idrossido di litio. La soluzione che si forma è:","acida, a causa dell’eccesso di ioni H+",basica,"acida, a causa dell’eccesso di ioni OH-",neutra,"basica, a causa dell’eccesso di ioni H+"
Gli acidi grassi sono caratterizzati dalla presenza di quale gruppo funzionale?,Il gruppo carbossilico,Il gruppo chetonico,Il gruppo amminico,Il gruppo alcossidico,Il gruppo aldeidico
"Quando si dice che un atomo si trova in uno stato ""eccitato""?",Quando uno dei suoi elettroni si sposta in un orbitale a maggior energia,Quando uno dei suoi elettroni si sposta in un orbitale a energia più bassa,Quando più elettroni si trovano in uno stato ad energia inferiore,Quando due orbitali formano un orbitale ibrido,Quando si trova in uno stato energetico stabile
"Vengono aggiunti 600 ml di acqua a 400 ml di una soluzione acquosa di HNO3 al 6,3% m/V. Qual è la concentrazione della soluzione ottenuta?
(MA dell’azoto: 14,0 u)","0,4 M","0,6 M",1 M,"0,37 M","0,2 M"
"Quale è la concentrazione molale di una soluzione acquosa costituita da 250 g di CaBr2 in 1,5 kg di soluzione?
(MA del calcio = 40 u; MA del bromo = 80 u)","1,0 m","0,01 m","1,5 m","2,5 m","0,25 m"
Quando una sostanza è un elettrolita?,Quando in soluzione acquosa o allo stato fuso si dissocia in ioni,Quando è solubile solo in solventi organici apolari,Quando in acqua mantiene una coppia ionica intima che non si dissocia mai,Che non conduce mai corrente,Quando allo stato solido non conduce corrente
"In due contenitori ermeticamente sigillati che hanno lo stesso volume e si trovano alla medesima temperatura (293,15 K), una mole di azoto e una mole di ossigeno esercitano la stessa pressione, pertanto:",la pressione esercitata dai due gas è una proprietà colligativa,la pressione esercitata dai due gas è indipendente dal volume dei due recipienti,la pressione esercitata dai due gas è è indipendente dalla temperatura alla quale si trovano,"la pressione esercitata non può essere mai pari a 1,0 atm",amentando la temperatura si determinerà una diminuzione della pressione esercitata dai due gas
Che cosa caratterizza un composto ternario?,L'essere costituito da 3 elementi,Il contenere un triplo legame al suo interno,Il provenire da una reazione di sintesi a tre passaggi,L'avere tre possibili isomeri,Nessuna delle altre alternative è corretta
"L’equazione chimica non bilanciata della combustione dell’eptano è: C7H16 + O2 → CO2 + H2O.
Quante moli di O2 sono necessarie per la combustione di 2 moli di eptano?",22,11,44,2,33
Quale tra i seguenti è un elemento di transizione?,Zinco,Rubidio,Boro,Bario,Piombo
La definizione di isotopo di un atomo afferma che:,isotopi sono due atomi con numero atomico uguale e numero di massa diverso,isotopi sono due atomi con numero atomico uguale e numero di massa uguale,due atomi con uguale numero di massa e numero atomico diverso sono isotopi,gli isotopi hanno comportamento identico quando sottoposti a spettrometria di massa,l'isotopo di un atomo presente in natura è sempre creato artificialmente
Qual è il numero di ossidazione dell'arsenico in H3AsO4?,5,4,6,3,7
"Se un soluto ha solubilità pari a 37,5 g in 100 grammi di H2O, una soluzione che contiene:",225 g di tale soluto in 500 g di H2O è satura e presenta corpo di fondo,75 g di tale soluto in 300 g di H2O è satura,"18,75 g di tale soluto in 40 g di H2O è insatura","43,5 g di tale soluto in 100 g di H2O e insatura","112,5 g di tale soluto in 310 g di H2O è satura e presenta corpo di fondo"
"Quale elemento, all’interno del periodo 3, segue l’allumino e precede il fosforo nella tavola periodica degli elementi?",Silicio,Carbonio,Germanio,Zolfo,Azoto
Da che tipo di legami è caratterizzata la struttura secondaria delle proteine?,Legami a idrogeno tra gruppi ammidici degli amminoacidi che compongono lo scheletro polipetidico,Legami covalenti tra gruppi ammidici degli amminoacidi che compongono lo scheletro polipetidico,Interazioni di van der Waals tra carboni della catena polipetidica,Condensazioni tra gruppi amminici e gruppi carbossilici degli amminoacidi,Legami metallici tra carboni vicini
Quanta acqua si forma facendo reagire 24 g di ossigeno con idrogeno in eccesso?,"1,5 mol","13,5 g","3,2 mol","54,0 g","36,0 g"
"Qual è il valore del pOH di una soluzione acquosa che ha [OH-] = 1,73· 10-10 mol/l?",9.76,11.5,10,7.8,12.3
"Il primo nylon sintetico sviluppato in laboratorio è stato il nylon 6,6 nei laboratori della Dupont. Questo polimero è:",una poliammide,un poliuretano,un polivinilbutirrale,un poliestere,un polisaccaride
Quanti elettroni si trovano negli orbitali p di valenza nell'orbitale p dell'atomo dello zolfo (S) nello stato fondamentale?,4,2,6,1,3
Come può essere descritto il legame metallico?,Legame delocalizzato,Legame covalente polare,Legame ionico,Interazione dipolo-dipolo,Attrazione debole
"Individuare i coefficienti stechiometrici che consentono di bilanciare la seguente equazione chimica:
aKMnO4 + bH2SO3 → cK2SO4 + dMnSO4 + eH2SO4 + fH2O",a = 2; b = 5; c = 1; d = 2; e = 2; f = 3,a = 2; b = 4; c = 1; d = 2; e = 2; f = 3,a = 2; b = 5; c = 2; d = 2; e = 2; f = 3,a = 2; b = 5; c = 1; d = 3; e = 2; f = 3,a = 2; b = 5; c = 1; d = 2; e = 2; f = 2
Individuare l’affermazione corretta.,"A 20°C, la solubilità del cloro in acqua aumenta all’aumentare della pressione",A 25°C la solubilità dell’azoto in acqua diminuisce all’aumentare della pressione,A 15°C la solubilità del bromuro di ammonio in acqua diminuisce all’aumentare della pressione,A 35°C la solubilità del solfuro di magnesio in acqua aumenta al diminuire della pressione,A 18°C la solubilità dell’ossigeno in acqua aumenta al diminuire della pressione
Quale elemento ha la seguente configurazione elettronica: 1s22s22p2?,Carbonio,Calcio,Litio,Sodio,Argon
"Nella molecola dei derivati del benzene, i sostituenti in posizione meta rispetto a un sostituente in posizione 1 vengono indicati mediante i numeri:",3 e 5,2 e 6,4,3 e 6,2 e 5
Una delle caratteristiche degli elettroliti è che sono:,capaci di condurre la corrente elettrica,solo solidi o gas,solo metalli,isolanti,tutti altamente infiammabili
Quale delle seguenti affermazioni in merito alla reazione SO3 + H2O → H2SO4 è corretta?,Si tratta di una reazione di sintesi,L’equazione chimica della reazione non è bilanciata,Si tratta della reazione tra un ossido basico e l’acqua,Si tratta di una reazione di decomposizione,Si tratta di una reazione di doppio scambio
"Come viene denominato un composto ternario di un metallo, ossigeno e idrogeno?",Idrossido,Ossiacido,Anidride,Ossido,Acido carbossilico
Quale delle seguenti affermazioni è ERRATA?,La solubilità di KCl in acqua aumenta all’aumentare della pressione esercitata sulla soluzione,La solubilità di O2 in acqua aumenta al diminuire della temperatura della soluzione,La solubilità di CO2 in acqua aumenta al diminuire della temperatura della soluzione,"La solubilità di C6H12O6 in acqua aumenta all’aumentare della temperatura
della soluzione",La solubilità di N2 in acqua aumenta all’aumentare della pressione esercitata sulla soluzione
In chimica organica l'acetone è:,un chetone,un alcano,un alchene,un estere,un ammide
Qual è il gruppo funzionale che caratterizza gli alcoli?,R-OH,R-C-O-C-R,R-COOC-R,R-PO3,R-NH2
"Nei silicati, il silicio è legato a quattro atomi di ossigeno formando un tetraedro, questo per quale motivo?",I suoi orbitali di valenza sono ibridati sp3,I suoi orbitali hanno livelli di energia tutti diversi,Ha l'orbitale di valenza completo,I suoi orbitali sono ibridati sp,I legami tra silicio e ossigeno sono covalenti puri
"Qual è la concentrazione molare di una soluzione acquosa costituita da 3,5 mol di MgCl2 in 5,0 litri di soluzione?
(MA del magnesio = 24,3 u; MA del cloro = 35,4 u)","0,7 M","0,35 M","0,5 M","7,0 M","0,05 M"
"Tra i seguenti orbitali atomici, qual è quello con l'energia più bassa?",3p,4s,4p,3d,5s
"Vengono aggiunti 750 ml di una soluzione acquosa 2,4 M di KOH a 250 ml di una soluzione acquosa di 0,8 M di KOH. Qual è la concentrazione della soluzione ottenuta?
(MA del potassio: 39,0 u)","2,0 M","1,0 M","3,2 M","1,6 M","4,0 M"
Qual è la caratteristica degli acidi grassi omega-3?,Avere l'ultimo doppio legame al terzo carbonio a partire dalla fine della catena,Avere un solo doppio legame alla fine della catena,Avere un solo doppio legame al carbonio C3,Avere il primo doppio legame al carbonio C3,Avere numerosi doppi legami che li rendono altamente stabili
Tra i seguenti composti individuare qual è un eterociclico.,Ossazolo,Benzene,Toluene,Naftalene,Fenolo
Individuare l’acido più forte in soluzione acquosa.,HClO3,H2CO3,HCN,H2S,H3BO3
"Si consideri la seguente equazione chimica bilanciata: 2NaOH + H2SO4 → Na2SO4 + 2H2O.
Quanti grammi di NaOH sono necessari per consumare integralmente 24,5 g di H2SO4?
(MA di Na = 23,0 u; MA di S = 32,0 u)",20,14,9.8,16,19
"A 300 ml di una soluzione acquosa 0,9 M di NaCl viene aggiunta acqua fino ad un volume finale di 600 ml. Qual è la concentrazione finale della soluzione?","0,5 mol/l","0,45 mol/l","0,3 mol/l","0,9 mol/l","0,25 mol/l"
La spettrofotometria è una tecnica analitica che si basa sull’impiego:,della luce,della corrente elettrica,della differenza di solubilità,della differenza di punto di ebollizione,del calore
"I derivati di farmaci marcati con isotopi (per esempio, 3H) vengono comunemente utilizzati per studi di:",distribuzione tissutale del farmaco e/o di suoi metaboliti,cristallizazione,dissoluzione della forma farmaceutica in vitro,disgregazione della forma farmaceutica in vitro,inibizione della crescita fungina in vitro
I carbocationi presentano stabilità differente a seconda del numero di sostituenti. l'ordine di stabilità è:,"+
CH3   <1° <2° <3°","+
1° < CH3  <2° <3°","+
CH3   >1° >2° >3°","+
CH3   <2° <1° <3°","+
3° <1° <2° < CH3"
"Il boro appartiene al gruppo 13 e la sua massa molare è 10,8 g/mol. Qual è la massa di 0,03 mol di borano, la cui formula bruta è B2H6?","0,828 g","0,276 g","0,092 g","0,92 g","2,76 g"
"Qual è il nome del composto Al2O3, secondo la nomenclatura IUPAC?",Triossido di dialluminio,Triossido di bialluminio,Diallume di triossigeno,Ossido di alluminio,Ossido di alluminio 3-2
"Si consideri un atomo preso nel suo stato fondamentale, la carica complessiva è:",nulla,negativa,positiva,distribuita sulla superficie del nucleo,distribuita solo sugli orbitali
"Osservare l'immagine e indicare in corrispondenza di quale numero si trovano i metalli alcalino-terrosi.
",2,1,3,4,5
In che cosa consiste il processo della calcinazione dei minerali?,Riscaldare il minerale fino a decomporlo per eliminare i prodotti volatili,Riscaldare il minerale per far precipitare le impurezze,Separare vari metalli sulla base della loro differente temperatura di fusione,Separare vari metalli sulla base della diversa temperatura di solidificazione,Trattamento termico che comporta reazioni del minerale con l'atmosfera del forno
"Secondo la nomenclatura tradizionale, il composto binario Na2O prende il
nome di:",ossido di sodio,perossido di sodio,idrossido di sodio,sodio ossigenato,disodio ossigenato
Le ammidi primarie si ottengono per mezzo di una reazione tra:,l'ammoniaca e un acido carbossilico,due alcoli,un chetone e un alcool,l'ammoniaca e un alchene,l'ammoniaca e un'aldeide
Come viene chiamato il composto di formula KCN?,Cianuro di potassio,Cianato di potassio,Nitrito di potassio,Nitrato di carbonio e potassio,Cianuro di azoto
Nel sistema internazionale qual è l'unità di misura del calore latente di fusione?,J/kg,J/mg,kJ/g,N/m,J
"Tra le seguenti tecniche che vengono impiegate per separare le sostanze pure che costituiscono i miscugli, individuare quella che comporta passaggi di stato di aggregazione della materia.",Distillazione,Filtrazione,Cromatografia,Decantazione,Centrifugazione
"Il toluene è un solvente ampiamente utilizzato in chimica, ma con quale delle seguenti sostanze non forma un sistema omogeneo?",Acqua,Pentano,Tetraidrofurano,Acetone,Etanolo
"""In un sistema chimico in equilibrio, ogni cambiamento (di pressione, di temperatura, di concentrazione o di volume) produce una reazione nel sistema che perdura finché non sia raggiunto un nuovo equilibrio"".
Si tratta dell'enunciato del principio di:",Le Chȃtelier,Avogadro,Pauli,Heisenberg,Pauiling
La massa molecolare è:,la somma di tutte le masse degli atomi che compongono la molecola,la somma delle masse atomiche degli atomi che compongono una molecola presi una sola volta,la somma dei numeri atomici di tutti gli atomi che compongono la molecola,il rapporto tra la massa di una molecola e la massa di una mole di atomi di carbonio,il rapporto tra la massa di una molecola e la massa di una mole
Una soluzione si dice satura quando:,"a una data temperatura, la concentrazione di un determinato soluto ha raggiunto il massimo valore possibile, tale per cui non è più possibile sciogliere in essa ulteriori quantità di soluto","a una data temperatura, la concentrazione di un determinato soluto ha il minimo valore possibile, sotto il quale gli effetti del soluto sono trascurabili","contiene, in massa, almeno il doppio del soluto rispetto al solvente","contiene, in massa, almeno il doppio del solvente rispetto al soluto",nessuna delle altre alternative è corretta
Quale tra i seguenti composti contiene un gruppo funzionale aldeidico?,Butanale,Toluene,Acetone,Naftalene,Anilina
Il simbolo chimico dell'antimonio è:,Sb,At,An,Am,Ac
Come sono i punti di fusione e di ebollizione degli alcani ciclici in relazione ai loro rispettivi alcani lineari?,Punto di ebollizione e punto di fusione sono entrambi più elevati,Punto di ebollizione e punto di fusione sono entrambi più bassi,Il punto di ebollizione è più elevato e il punto di fusione è più basso,Il punto di ebollizione è più basso e il punto di fusione è più elevato,Punto di ebollizione e punto di fusione sono entrambi uguali a quelli degli alcani lineari
Una delle seguenti specie chimiche NON è una base secondo la definizione di Lewis. Quale?,AlCl3,Cl–,NH3,"2–
CO3",PH3
"A 20°C e 1,0 atm si considerino due soluzioni acquose: la prima contiene 0,5 mol di KCl in 250 ml di acqua, mentre la seconda contiene 0,25 mol di KCl in 115 ml di acqua. Quale delle seguenti affermazioni è corretta?",La seconda ha una tensione di vapore inferiore rispetto alla prima,La prima soluzione esercita una pressione osmotica maggiore rispetto alla seconda,La prima soluzione ha una temperatura di ebollizione maggiore rispetto alla seconda soluzione,La seconda soluzione ha una temperatura di congelamento superiore a quella della prima soluzione,I due miscugli non sono soluzioni in quanto KCl non è solubile in acqua
Un ossido acido è un composto:,"binario, formato dalla reazione tra ossigeno e un non metallo","binario, formato dalla reazione tra un metallo e l'ossigeno",in cui l'ossigeno ha numero di ossidazione pari a –1,"ternario, che si forma dalla reazione tra un acido e l'ossigeno","ternario, organico"
Quale tra i seguenti valori di pH indica la soluzione acquosa con la minore concentrazione di ioni OH–?,2.8,3.4,12.1,10.8,"Per definizione, in una soluzione acquosa, la concentrazione di ioni OH– è sempre uguale alla concentrazione degli ioni H+"
"Come viene definita una sospensione in cui le particelle disperse sono più grandi delle molecole, ma non abbastanza da separarsi per azione della gravità?",Dispersione colloidale o colloide,Soluzione,Micella,Soluzione satura,Nessuna delle altre alternative è corretta
